i,w,iq,w-w_hat
0,867.4522094726562,12.0,767.4522094726562
0,873.809814453125,12.0,773.809814453125
0,880.1653442382812,12.0,780.1653442382812
0,886.5189819335938,12.0,786.5189819335938
0,892.8705444335938,12.0,792.8705444335938
0,899.2200317382812,12.0,799.2200317382812
0,905.567626953125,12.0,805.567626953125
0,911.9131469726562,12.0,811.9131469726562
0,918.256591796875,12.0,818.256591796875
0,924.5979614257812,12.0,824.5979614257812
0,930.9374389648438,12.0,830.9374389648438
0,937.2748413085938,12.0,837.2748413085938
0,943.6101684570312,12.0,843.6101684570312
0,949.943603515625,12.0,849.943603515625
0,956.2749633789062,12.0,856.2749633789062
0,962.604248046875,12.0,862.604248046875
0,968.931640625,12.0,868.931640625
0,975.2569580078125,12.0,875.2569580078125
0,981.5802001953125,12.0,881.5802001953125
0,987.9015502929688,12.0,887.9015502929688
0,994.2208251953125,12.0,894.2208251953125
0,1000.5382080078125,12.0,900.5382080078125
0,1006.853515625,12.0,906.853515625
0,1013.166748046875,12.0,913.166748046875
0,1019.4780883789062,12.0,919.4780883789062
0,1025.787353515625,12.0,925.787353515625
0,1032.094482421875,12.0,932.094482421875
0,1038.3997802734375,12.0,938.3997802734375
0,1044.703125,12.0,944.703125
0,1051.0042724609375,12.0,951.0042724609375
0,1057.303466796875,12.0,957.303466796875
0,1063.600830078125,12.0,963.600830078125
0,1069.8958740234375,12.0,969.8958740234375
0,1076.1890869140625,12.0,976.1890869140625
0,1082.4803466796875,12.0,982.4803466796875
0,1088.7696533203125,12.0,988.7696533203125
0,1095.0567626953125,12.0,995.0567626953125
0,1101.3419189453125,12.0,1001.3419189453125
0,1107.625244140625,12.0,1007.625244140625
0,1113.9063720703125,12.0,1013.9063720703125
0,1120.185546875,12.0,1020.185546875
0,1126.4627685546875,12.0,1026.4627685546875
0,1132.7381591796875,12.0,1032.7381591796875
0,1139.01123046875,12.0,1039.01123046875
0,1145.282470703125,12.0,1045.282470703125
0,1151.5517578125,12.0,1051.5517578125
0,1157.81884765625,12.0,1057.81884765625
0,1164.083984375,12.0,1064.083984375
0,1170.3472900390625,12.0,1070.3472900390625
0,1176.608642578125,12.0,1076.608642578125
0,1182.8677978515625,12.0,1082.8677978515625
0,1189.125,12.0,1089.125
0,1195.3802490234375,12.0,1095.3802490234375
0,1201.6336669921875,12.0,1101.6336669921875
0,1207.884765625,12.0,1107.884765625
0,1214.134033203125,12.0,1114.134033203125
0,1220.38134765625,12.0,1120.38134765625
0,1226.6268310546875,12.0,1126.6268310546875
0,1232.8699951171875,12.0,1132.8699951171875
0,1239.111328125,12.0,1139.111328125
0,1245.3507080078125,12.0,1145.3507080078125
0,1251.588134765625,12.0,1151.588134765625
0,1257.8233642578125,12.0,1157.8233642578125
0,1264.056640625,12.0,1164.056640625
0,1270.2880859375,12.0,1170.2880859375
0,1276.517578125,12.0,1176.517578125
0,1282.744873046875,12.0,1182.744873046875
0,1288.97021484375,12.0,1188.97021484375
0,1295.1937255859375,12.0,1195.1937255859375
0,1301.415283203125,12.0,1201.415283203125
0,1307.6348876953125,12.0,1207.6348876953125
0,1313.852294921875,12.0,1213.852294921875
0,1320.0677490234375,12.0,1220.0677490234375
0,1326.2813720703125,12.0,1226.2813720703125
0,1332.4930419921875,12.0,1232.4930419921875
0,1338.7027587890625,12.0,1238.7027587890625
0,1344.9102783203125,12.0,1244.9102783203125
0,1351.115966796875,12.0,1251.115966796875
0,1357.3197021484375,12.0,1257.3197021484375
0,1363.521484375,12.0,1263.521484375
0,1369.7210693359375,12.0,1269.7210693359375
0,1375.918701171875,12.0,1275.918701171875
0,1382.114501953125,12.0,1282.114501953125
0,1388.308349609375,12.0,1288.308349609375
